Title;Species
Shark Population Dynamics Study;Carcharodon carcharias
Migration Patterns of Blue Whales;Balaenoptera musculus
Behavioral Ecology of Green Sea Turtles;Chelonia mydas
Genetic Diversity in Atlantic Salmon Populations;Salmo salar
Deep-sea Exploration of Giant Squid Habitats;Architeuthis dux
Manta Ray Feeding Ecology in Coastal Waters;Manta birostris
Cognitive Abilities of Bottlenose Dolphins;Tursiops truncatus
Conservation Genetics of Coral Trout Populations;Plectropomus leopardus
Reef Dynamics and Humphead Wrasse Interactions;Cheilinus undulatus
Napoleon Wrasse Spawning Aggregation Study;Cheilinus undulatus
Invasive Lionfish Impact on Coral Reef Ecosystems;Pterois volitans
Sea Otter Behavior and Foraging Ecology;Enhydra lutris
Prehistoric Megalodon Distribution Patterns;Carcharocles megalodon
Orca Communication and Social Structure;Orcinus orca
Jellyfish Blooms and Their Environmental Impacts;Cnidaria
